liballeg/allegro5,5.3,72,2508,189
lammps/lammps,5.3,94,2855,550
zlgopen/awtk,5.3,17,1966,279
Stichting-MINIX-Research-Foundation/minix,4.3,187,5793,761
espressif/ESP8266_RTOS_SDK,5.3,0,6,0
LeelaChessZero/lc0,4.3,9,408,51
asmjit/asmjit,5.3,0,434,78
ivmai/bdwgc,4.3,5,57,7
libffi/libffi,4.3,1,54,4
Dobiasd/FunctionalPlus,5.3,0,8,3
tidalcycles/Tidal,5.3,5,345,92
openai/retro,4.3,45,2355,425
tomahawk-player/tomahawk,4.3,0,26,0
LibreSprite/LibreSprite,4.3,17,4255,552
raspberrypi/userland,5.3,94,2746,381
dhewm/dhewm3,4.3,157,3978,358
aksnzhy/xlearn,4.7,1,3,0
jerryscript-project/iotjs,4.3,0,159,6
dfranx/SHADERed,5.3,121,2037,381
chocolate-doom/chocolate-doom,5.3,32,3458,288
nihui/waifu2x-ncnn-vulkan,4.3,42,2372,376
86Box/86Box,4.9,2,10,4
Tencent/TNN,4.3,16,2137,298
f4exb/sdrangel,4.3,3,5269,339
mitsuba-renderer/mitsuba2,4.3,17,1424,144
MultiMC/Launcher,4.3,1,109,14
microsoft/SEAL,4.3,14,999,129
cmusphinx/pocketsphinx,4.3,58,1210,149
seemoo-lab/nexmon,5.3,104,4281,703
zyantific/zydis,5.3,1,374,102
google/gemmlowp,5.3,2,72,2
wolfSSL/wolfssl,5.3,0,1617,295
KhronosGroup/Vulkan-Samples,4.3,52,3096,525
pistacheio/pistache,4.3,3,273,37
julius-speech/julius,4.3,90,726,80
thedmd/imgui-node-editor,5.3,50,1165,161
Tencent/puerts,4.3,0,5,0
xoseperez/espurna,4.3,24,461,52
jerryscript-project/iotjs,4.3,0,159,6
boazsegev/facil.io,4.3,18,486,26
uTensor/uTensor,4.3,3,90,1
Neargye/nameof,4.3,0,3,1
ComodoSecurity/openedr,4.3,57,2608,259
yyzybb537/libgo,4.3,2,153,14
SFUMECJF/cmake-examples-Chinese,4.3,0,2,0
xelatihy/yocto-gl,4.3,37,871,111
PaddlePaddle/FastDeploy,5.3,0,487,129
scottbez1/splitflap,4.3,0,25,2
distcc/distcc,4.3,73,502,65
OSGeo/gdal,4.3,412,12929,2115
beefytech/Beef,4.3,191,1962,277
can1357/NoVmp,4.3,40,3440,344
kohler/gifsicle,4.3,24,320,41
dpayne/cli-visualizer,4.7,0,65,3
griddb/griddb,4.3,1,35,3
crownengine/crown,4.7,5,150,23
coqui-ai/STT,5.3,2,145,6
SerenityOS/jakt,4.3,10,1905,1065
bytedance/terarkdb,4.3,14,1853,161
clab/dynet,5.3,0,327,0
parallel101/course,5.3,50,953,109
jmpews/Dobby,4.3,5,71,13
Tencent/Tendis,4.3,2,1180,75
marcj/TypeRunner,4.3,0,202,10
microsoft/SEAL,4.3,14,999,129
nokiatech/heif,4.3,2,1412,45
containers/crun,4.3,186,1064,246
Roblox/luau,4.3,12,4418,668
cnr-isti-vclab/meshlab,4.3,2,52,4
RainerKuemmerle/g2o,4.7,3,447,36
ton-blockchain/ton,4.3,19,2080,323
PrismLauncher/PrismLauncher,4.3,4,2079,162
lxc/lxc,5.3,129,443,93
ibireme/yyjson,5.3,0,82,19
Tencent/paxosstore,5.3,0,614,35
JakubVojvoda/design-patterns-cpp,4.3,2,24,0
mtcp-stack/mtcp,4.3,27,851,100
znc/znc,4.3,11,1563,174
tezc/sc,5.3,7,651,52
lucasb-eyer/pydensecrf,4.3,11,10,4
JACoders/OpenJK,4.9,319,6020,828
jrouwe/JoltPhysics,4.3,12,1331,179
premake/premake-core,4.3,14,1363,190
openbsd/src,4.3,29,3326,199
Icinga/icinga2,5.3,2,29,5
borglab/gtsam,5.3,217,3622,441
hanwckf/rt-n56u,4.3,245,7224,1030
hanwckf/rt-n56u,4.3,242,6040,824
linux-can/can-utils,4.3,14,207,48
tunabrain/tungsten,4.3,80,707,66
mgbellemare/Arcade-Learning-Environment,5.3,0,631,19
zeux/pugixml,4.3,0,430,30
DynamoRIO/drmemory,4.3,287,5441,811
Kobzol/hardware-effects,4.3,2,34,1
cocos/cocos-engine,5.3,0,399,20
rizinorg/rizin,5.3,296,6865,938
ChaiScript/ChaiScript,5.3,0,26,7
openai/retro,4.3,43,2355,425
emilybache/GildedRose-Refactoring-Kata,5.3,0,4,3
jarro2783/cxxopts,4.3,5,5,2
sogou/srpc,5.3,0,80,6
IoLanguage/io,4.3,33,890,49
oneapi-src/oneDNN,4.3,6,1536,531
AtomicGameEngine/AtomicGameEngine,5.3,41,3786,483
kangjianwei/Data-Structure,4.3,150,2347,76
saghul/txiki.js,4.3,95,3679,445
projectM-visualizer/projectm,4.3,56,573,63
sleuthkit/sleuthkit,4.3,161,2116,479
json-c/json-c,4.3,2,195,18
microsoft/verona,4.3,0,114,15
bytecodealliance/wasm-micro-runtime,4.9,107,4405,404
eigenteam/eigen-git-mirror,5.3,3,90,6
google/sandboxed-api,5.3,135,7119,563
cmu-db/noisepage,4.3,2,767,53
ceres-solver/ceres-solver,4.5,0,979,84
sustrik/libmill,4.3,20,337,22
stellar/stellar-core,4.3,10,521,114
twitter/pelikan,4.3,48,1292,404
slic3r/Slic3r,4.3,2,131,26
arrayfire/arrayfire,4.3,4,588,12
tinyproxy/tinyproxy,4.3,8,185,12
kohler/gifsicle,4.3,24,320,41
FeralInteractive/gamemode,4.3,0,134,38
panda3d/panda3d,4.3,47,5,0
fragglet/c-algorithms,4.3,4,148,1
sysstat/sysstat,4.3,51,668,103
kripken/ammo.js,4.3,30,909,86
stephane/libmodbus,4.3,4,106,8
abishekvashok/cmatrix,4.3,4,6,1
gflags/gflags,4.3,0,76,6
okbob/pspg,4.3,20,265,68
actor-framework/actor-framework,4.3,0,1890,406
Tencent/TNN,4.3,16,2137,298
acl-dev/acl,4.3,135,4643,250
pgbackrest/pgbackrest,4.3,16,2604,649
strasdat/Sophus,4.9,2,38,14
DynamoRIO/dynamorio,4.3,29,4277,573
mpromonet/v4l2rtspserver,4.3,24,1328,114
BinomialLLC/basis_universal,4.3,21,1211,234
AtomicGameEngine/AtomicGameEngine,5.3,41,3786,483
facontidavide/PlotJuggler,4.3,0,280,5
joncampbell123/dosbox-x,5.3,106,4160,579
Neargye/magic_enum,4.3,0,17,4
KwaiAppTeam/KOOM,4.3,2,367,7
johang/btfs,4.3,1,32,0
GarageGames/Torque3D,5.3,15,1995,296
Lienol/openwrt,4.3,5,100,9
janet-lang/janet,4.3,13,849,73
seladb/PcapPlusPlus,4.3,52,1289,139
xroche/httrack,4.3,1252,1269,317
aircrack-ng/aircrack-ng,4.7,20,927,167
CGAL/cgal,5.3,35,14,1
bytecodealliance/wasm-micro-runtime,4.9,107,4405,404
owntone/owntone-server,4.3,0,394,0
libjpeg-turbo/libjpeg-turbo,4.3,58,772,138
slic3r/Slic3r,4.3,2,131,26
vgough/encfs,4.3,0,111,5
azerothcore/azerothcore-wotlk,4.3,50,1893,196
adnanaziz/EPIJudge,5.3,0,352,27
CloverHackyColor/CloverBootloader,4.3,8,268,24
patriciogonzalezvivo/glslViewer,4.3,72,1462,254
SRombauts/SQLiteCpp,4.3,52,3709,438
mgerdes/Open-Golf,5.3,99,2159,258
Bionus/imgbrd-grabber,4.3,1,23,1
squid-cache/squid,4.3,56,5536,694
jlblancoc/nanoflann,4.3,4,24,1
aksnzhy/xlearn,4.7,1,3,0
actor-framework/actor-framework,4.3,0,1890,406
ermig1979/Simd,4.3,56,877,92
F-Stack/f-stack,4.7,180,9691,961
Neargye/magic_enum,4.3,0,17,4
NASA-SW-VnV/ikos,4.3,4,4,0
Snaipe/Criterion,4.3,19,475,75
MusicPlayerDaemon/MPD,4.3,3,2060,68
toggl-open-source/toggldesktop,4.3,45,4156,324
