repo, bugs, ossf score, complex functions, total functions
intel/gdb,228,6.2,364,3564
intel/fineibt_llvm,138,3.8,5330,49628
intel/xpumanager,85,5.5,528,3809
intel/intel-device-resource-mgt-lib,67,6.5,226,1970
intel/compute-aggregation-layer,60,7.6,111,1249
intel/qatlib,37,8,392,1365
intel/gmmlib,26,6.8,340,1410
intel/systemc-compiler,22,7.4,32,1099
intel/ideep,14,6.2,302,1375
intel/intel-ipsec-mb,11,7,77,544
intel/opencl-intercept-layer,10,5.1,222,408
intel/intel-graphics-compiler,10,4,83,1169
intel/zlib,8,4.9,31,221
intel/qpl,8,8.3,205,1503
intel/linux-sgx,8,8.2,126,992
intel/media-driver,7,7.1,10,101
intel/intel-extension-for-transformers,6,7,768,5173
intel/hexl,6,6.2,12,195
intel/IA-Hardware-Composer,6,6.2,4,117
intel/dptf,5,7.2,46,2248
intel/pcm,4,6.8,82,781
intel/DML,4,7.5,75,521
intel/libva,3,7.1,21,325
intel/isa-l,3,7.2,23,158
intel/cm-cpu-emulation,3,5.4,4,110
intel/uintr-ipc-bench,2,5.2,0,104
intel/metee,2,6.5,2,65
intel/ipp-crypto,2,6.9,3,252
intel/iotg_tsn_ref_sw,2,7.4,4,19
intel/iotg-lin-gfx-libva,2,6.4,15,303
intel/intel-cpu-frequency-library,2,6.8,0,5
intel/MTMC-Temporal-Profiler,2,5.7,2,37
intel/linux-vpu-driver,1,6.8,32,2174
intel/compile-time-init-build,1,6,5,460
intel/cloud-client-ai-service-framework,1,5.9,1,15
intel/yarpgen,0,6.4,15,228
intel/thermal_daemon,0,7.3,30,335
intel/safestringlib,0,6.1,19,84
intel/safe-arithmetic,0,5.5,0,7
intel/qemu-tdx,0,5,10,91
intel/pti-gpu,0,6.2,4,63
intel/pailliercryptolib,0,6.5,0,68
intel/oneAPI-Ultrasound-Beamforming-Library,0,6.4,3,23
intel/libipt,0,6.6,14,475
intel/ipmctl,0,5.7,2,11
intel/intel-qs,0,5.5,21,180
intel/intel-extension-for-pytorch,0,7.2,0,14
intel/igsc,0,7.6,25,92
intel/hexl-fpga,0,5.5,2,69
intel/gna,0,6.3,0,5
intel/crypto-api-toolkit,0,6.2,4,219
intel/compute-benchmarks,0,6.4,132,386
intel/cm-compiler,0,5,0,28
intel/aubstream,0,6.7,4,126
intel/SGXDataCenterAttestationPrimitives,0,8,18,335
intel/Intel-Vector-Data-Streaming-Library,0,5.8,5,130
intel/BDTK,0,6.9,0,9
